epoch,lr-AdamW,step,train_acc_mean_pos,train_acc_top1,train_acc_top5,train_loss,val_acc_mean_pos,val_acc_top1,val_acc_top5,val_loss
,0.00033070916362186215,12996,,,,,,,,
4,,12999,1.75,0.75,0.9375,0.8386596441268921,,,,
4,,13049,2.5,0.84375,0.9375,0.8122475147247314,,,,
4,,13099,3.46875,0.53125,0.78125,1.4982447624206543,,,,
4,,13149,1.34375,0.875,0.96875,0.4702000319957733,,,,
4,,13199,1.65625,0.75,0.96875,0.8755556344985962,,,,
4,,13249,1.96875,0.65625,0.96875,1.0781292915344238,,,,
4,,13299,1.65625,0.65625,0.96875,0.8886741399765015,,,,
4,,13349,3.09375,0.59375,0.90625,1.405014991760254,,,,
4,,13399,1.625,0.71875,0.96875,0.9888796210289001,,,,
4,,13449,1.34375,0.90625,0.96875,0.35099685192108154,,,,
4,,13499,1.75,0.6875,0.9375,0.8037620782852173,,,,
4,,13549,2.03125,0.8125,0.90625,0.9102027416229248,,,,
4,,13599,1.8125,0.65625,1.0,1.016727328300476,,,,
4,,13649,2.8125,0.6875,0.9375,1.0211164951324463,,,,
4,,13699,1.15625,0.84375,1.0,0.4923003911972046,,,,
4,,13749,1.9375,0.71875,0.9375,1.0071208477020264,,,,
4,,13799,1.25,0.8125,1.0,0.5083751678466797,,,,
4,,13849,1.46875,0.71875,1.0,0.7310926914215088,,,,
4,,13899,1.71875,0.8125,0.96875,0.775526762008667,,,,
4,,13949,1.6875,0.65625,0.96875,0.822843074798584,,,,
4,,13999,3.6875,0.625,0.8125,1.5551607608795166,,,,
4,,14049,1.3125,0.8125,1.0,0.5696633458137512,,,,
4,,14099,3.0625,0.65625,0.84375,1.2631409168243408,,,,
4,,14149,2.6875,0.78125,0.90625,0.9544780254364014,,,,
4,,14199,3.5625,0.5625,0.78125,1.6923658847808838,,,,
4,,14249,1.53125,0.78125,1.0,0.7257652282714844,,,,
4,,14299,1.59375,0.8125,0.96875,0.7478109002113342,,,,
4,,14349,1.375,0.90625,0.96875,0.46255162358283997,,,,
4,,14399,1.75,0.6875,0.96875,0.9082826375961304,,,,
4,,14449,1.1875,0.9375,1.0,0.40595635771751404,,,,
4,,14499,1.375,0.71875,1.0,0.7092734575271606,,,,
4,,14549,2.125,0.75,0.90625,0.9427826404571533,,,,
4,,14599,1.4375,0.8125,1.0,0.6800577640533447,,,,
4,,14649,1.6875,0.875,0.96875,0.5703734159469604,,,,
4,,14699,2.0,0.6875,0.875,1.1116890907287598,,,,
4,,14749,1.65625,0.625,1.0,0.9076999425888062,,,,
4,,14799,1.09375,0.90625,1.0,0.39711347222328186,,,,
4,,14849,2.03125,0.75,0.875,1.1005489826202393,,,,
4,,14899,2.375,0.75,0.875,1.0099985599517822,,,,
4,,14949,1.5625,0.875,0.96875,0.5547667145729065,,,,
4,,14999,1.84375,0.71875,0.9375,1.0079853534698486,,,,
4,,15049,1.1875,0.90625,1.0,0.4163551330566406,,,,
4,,15099,2.8125,0.5625,0.875,1.3809195756912231,,,,
4,,15149,1.40625,0.71875,1.0,0.7770400047302246,,,,
4,,15199,1.96875,0.6875,0.90625,0.9446677565574646,,,,
4,,15249,1.78125,0.71875,0.90625,0.8567659854888916,,,,
4,,15290,,,,,8.032427787780762,0.06326322257518768,0.3304063677787781,4.200451374053955
,0.000255,15291,,,,,,,,
5,,15299,1.78125,0.78125,0.90625,0.7912827730178833,,,,
5,,15349,1.28125,0.8125,1.0,0.540833592414856,,,,
5,,15399,2.125,0.65625,0.9375,1.175150752067566,,,,
5,,15449,1.59375,0.6875,0.96875,0.6013604402542114,,,,
5,,15499,1.125,0.875,1.0,0.38109728693962097,,,,
5,,15549,1.78125,0.78125,0.90625,0.7575151920318604,,,,
5,,15599,2.375,0.6875,0.875,1.0220363140106201,,,,
5,,15649,1.34375,0.78125,1.0,0.7715771794319153,,,,
5,,15699,1.5625,0.84375,0.96875,0.5409913659095764,,,,
5,,15749,1.6875,0.75,0.96875,0.7502988576889038,,,,
